"","Latitude","Longitude","Timestamp","Twitter Id","TWEET","favourite_cnt","is_retweeted","is_retweet","Hashtags","Polarity_val"
"3395",-999.99,-999.99,"Tue Nov 04 21:53:03 IST 2014","ownsimpson","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3396",-999.99,-999.99,"Tue Nov 04 21:53:03 IST 2014","MorsalAmin","@CodySimpson @RooseveltField @Macys @raggedmag I have to tell my mom????? I need to go? .....MOM?",1,FALSE,FALSE,"[]",0
"3397",-999.99,-999.99,"Tue Nov 04 21:53:01 IST 2014","KelseyLacks","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3398",-999.99,-999.99,"Tue Nov 04 21:53:00 IST 2014","EnchancerMyLife","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3399",-999.99,-999.99,"Tue Nov 04 21:52:59 IST 2014","valeriamorellat","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3400",-999.99,-999.99,"Tue Nov 04 21:52:57 IST 2014","RebaBieber1996","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3401",-999.99,-999.99,"Tue Nov 04 21:52:56 IST 2014","michalzelenski1","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3402",-999.99,-999.99,"Tue Nov 04 21:52:56 IST 2014","CutieSedra","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3403",-999.99,-999.99,"Tue Nov 04 21:52:55 IST 2014","tchauriah","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3404",-999.99,-999.99,"Tue Nov 04 21:52:54 IST 2014","0fficial_Natsu","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
